,hour,LMP
DC_BGE_PEP,1,3500.00
DC_BGE_PEP,2,27.19
DC_BGE_PEP,3,26.42
DC_BGE_PEP,4,33.74
DC_BGE_PEP,5,27.27
DC_BGE_PEP,6,31.25
DC_BGE_PEP,7,26.42
DC_BGE_PEP,8,57.42
DC_BGE_PEP,9,3500.00
DC_BGE_PEP,10,3500.00
DC_BGE_PEP,11,3500.00
DC_BGE_PEP,12,45.38
DC_BGE_PEP,13,29.51
DC_BGE_PEP,14,28.81
DC_BGE_PEP,15,23.15
DC_BGE_PEP,16,23.15
DC_BGE_PEP,17,22.69
DC_BGE_PEP,18,21.70
DC_BGE_PEP,19,31.36
DC_BGE_PEP,20,52.29
DC_BGE_PEP,21,35.07
DC_BGE_PEP,22,39.71
DC_BGE_PEP,23,38.80
DC_BGE_PEP,24,22.71
EAST,1,144.38
EAST,2,23.85
EAST,3,21.85
EAST,4,21.70
EAST,5,21.70
EAST,6,21.70
EAST,7,21.85
EAST,8,43.90
EAST,9,45.66
EAST,10,46.40
EAST,11,45.72
EAST,12,23.95
EAST,13,21.70
EAST,14,21.37
EAST,15,20.65
EAST,16,20.65
EAST,17,20.65
EAST,18,20.58
EAST,19,21.70
EAST,20,21.84
EAST,21,21.70
EAST,22,21.70
EAST,23,21.62
EAST,24,21.01
PA_METED_PPL,1,146.21
PA_METED_PPL,2,24.80
PA_METED_PPL,3,22.80
PA_METED_PPL,4,22.65
PA_METED_PPL,5,22.65
PA_METED_PPL,6,22.65
PA_METED_PPL,7,23.68
PA_METED_PPL,8,43.97
PA_METED_PPL,9,46.61
PA_METED_PPL,10,47.35
PA_METED_PPL,11,46.67
PA_METED_PPL,12,24.90
PA_METED_PPL,13,21.70
PA_METED_PPL,14,21.37
PA_METED_PPL,15,20.65
PA_METED_PPL,16,20.65
PA_METED_PPL,17,20.65
PA_METED_PPL,18,20.58
PA_METED_PPL,19,21.70
PA_METED_PPL,20,22.79
PA_METED_PPL,21,22.65
PA_METED_PPL,22,21.70
PA_METED_PPL,23,21.62
PA_METED_PPL,24,22.71
VA_DOM,1,3500.00
VA_DOM,2,27.19
VA_DOM,3,26.42
VA_DOM,4,33.74
VA_DOM,5,27.27
VA_DOM,6,31.25
VA_DOM,7,26.42
VA_DOM,8,57.42
VA_DOM,9,3500.00
VA_DOM,10,3500.00
VA_DOM,11,3500.00
VA_DOM,12,45.38
VA_DOM,13,29.51
VA_DOM,14,28.81
VA_DOM,15,23.15
VA_DOM,16,23.15
VA_DOM,17,22.69
VA_DOM,18,21.70
VA_DOM,19,31.36
VA_DOM,20,52.29
VA_DOM,21,35.07
VA_DOM,22,39.71
VA_DOM,23,38.80
VA_DOM,24,22.71
WEST,1,3500.00
WEST,2,27.19
WEST,3,26.42
WEST,4,33.74
WEST,5,27.27
WEST,6,31.25
WEST,7,26.42
WEST,8,57.42
WEST,9,3500.00
WEST,10,3500.00
WEST,11,3500.00
WEST,12,45.38
WEST,13,29.51
WEST,14,28.81
WEST,15,23.15
WEST,16,23.15
WEST,17,22.69
WEST,18,21.70
WEST,19,31.36
WEST,20,52.29
WEST,21,35.07
WEST,22,39.71
WEST,23,38.80
WEST,24,22.71
