transmission_line,transmission_from,transmission_to,min_flow,max_flow,line_losses_frac
EAST_to_WEST,EAST,WEST,0,0,0.02
EAST_to_DC,EAST,DC_BGE_PEP,0,0,0.02
EAST_to_VA,EAST,VA_DOM,0,0,0.02
EAST_to_PA,EAST,PA_METED_PPL,-2000,2000,0.02
WEST_to_DC,WEST,DC_BGE_PEP,-2000,2000,0.02
WEST_to_VA,WEST,VA_DOM,-2000,2000,0.02
WEST_to_PA,WEST,PA_METED_PPL,-2000,2000,0.02
DC_to_VA,DC_BGE_PEP,VA_DOM,-2000,2000,0.02
DC_to_PA,DC_BGE_PEP,PA_METED_PPL,-2000,2000,0.02
VA_to_PA,VA_DOM,PA_METED_PPL,0,0,0.02
