Gen_Index,Capacity,Fuel_Cost,Pmin,start_cost,Can_Spin
1,16.1,26.70897929,0.4,1610,1
2,44,26.70897929,0.4,1100,1
3,44,26.70897929,0.4,4400,1
4,219,24.86203361,0.4,21900,1
8,116,32.46240282,0.4,11600,1
9,79,26.8139642,0.4,7900,1
10,11,21.70291473,0.4,1100,1
12,16,133.0262343,0.25,400,1
13,110,22.70655702,0.4,11000,1
14,80,28.83917945,0.4,8000,1
15,53.8,21.70291473,0.4,5380,1
16,45,21.70291473,0.4,4500,1
17,260,30.46096362,0.4,26000,1
1574,160,20.89137443,0.4,16000,1
1575,160,20.89137443,0.4,16000,1
1576,420,0,0,0,1
1579,499,0,0,0,1
1580,420,0,0,0,1
1582,160,0,0,0,1
1583,420,0,0,0,1
1586,917,0,0,0,1
1566,1182,5.229563839,0.9,591000,0
1567,625,5.229563839,0.9,312500,0
1616,92,62.32680556,0.4,2300,1
1617,28,46.94115538,0.4,700,1
1618,17,46.94115538,0.4,425,1
1619,92,46.94115538,0.4,2300,1
1620,12,46.94115538,0.4,300,1
1621,44,46.94115538,0.4,1100,1
1622,42,46.94115538,0.4,1050,1
1623,121,0,0,0,1
1624,177,49.30792961,0.4,4425,1
1625,120,49.30792961,0.4,3000,1
1626,120,29.1850897,0.4,12000,1
1627,545,29.1850897,0.4,54500,1
1628,120,29.1850897,0.4,12000,1
1629,541,29.1850897,0.4,54100,1
1631,121,29.1850897,0.4,12100,1
1633,94,29.1850897,0.4,9400,1
1634,94,29.1850897,0.4,9400,1
1635,94,29.1850897,0.4,9400,1
1849,10000,10000,0,0,0
